Medicine Name,Active Ingredient,Infant (0-1 yr),Child (1-12 yr),Adolescent (12-18 yr),Adult (18-65 yr),Elderly (65+ yr)
Atorvastatin 37,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 38,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 38,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 38,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 38,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 38,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 39,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 39,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 39,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 39,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 39,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 40,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 40,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 40,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 40,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 40,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 41,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 41,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 41,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 41,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 41,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 42,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 42,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 42,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 42,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 42,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 43,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 43,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 43,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 43,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 43,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 44,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 44,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 44,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 44,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 44,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 45,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 45,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 45,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 45,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 45,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 46,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 46,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 46,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 46,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 46,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 47,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 47,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 47,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 47,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 47,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 48,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 48,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 48,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 48,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 48,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 49,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 49,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 49,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 49,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 49,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 50,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 50,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 50,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 50,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 50,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 51,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 51,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 51,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 51,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 51,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 52,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 52,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 52,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 52,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 52,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 53,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 53,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 53,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 53,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 53,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 54,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 54,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 54,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 54,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 54,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 55,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 55,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 55,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 55,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 55,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 56,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 56,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 56,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 56,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 56,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 57,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 57,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 57,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 57,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 57,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 58,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 58,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 58,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 58,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 58,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 59,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 59,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 59,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 59,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 59,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 60,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 60,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 60,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 60,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 60,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 61,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 61,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 61,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 61,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 61,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 62,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 62,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 62,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 62,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 62,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 63,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 63,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 63,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 63,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 63,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 64,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 64,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 64,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 64,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 64,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 65,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 65,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 65,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 65,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 65,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 66,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 66,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 66,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
